id,content,source,url,category,relevance,language,date_added
sample_ev_001,Water boils at 100 degrees Celsius (212°F) at standard atmospheric pressure at sea level. This temperature varies with elevation due to changes in atmospheric pressure.,Physics Textbooks,https://en.wikipedia.org/wiki/Boiling_point,science,high,en,2025-10-29
sample_ev_002,The Earth's average surface temperature has increased by approximately 1.1°C since pre-industrial times due to greenhouse gas emissions from human activities.,IPCC Sixth Assessment Report,https://www.ipcc.ch/,science,high,en,2025-10-29
sample_ev_003,Climate change is primarily caused by anthropogenic greenhouse gas emissions. The IPCC has concluded with high confidence that human influence is the dominant cause of observed warming.,IPCC Reports,https://www.ipcc.ch/,science,high,en,2025-10-29
sample_ev_004,The Great Wall of China is not visible from space with the naked eye. NASA astronauts have confirmed this myth is false.,NASA Official Statements,https://www.nasa.gov/,science,high,en,2025-10-29
sample_ev_005,"The Earth is an oblate spheroid, slightly flattened at the poles. Satellite imagery, physics, and navigation systems confirm this shape.",NASA Earth Science,https://science.nasa.gov/,science,high,en,2025-10-29
sample_ev_006,Lightning frequently strikes the same location multiple times. The Empire State Building is struck 20-25 times per year.,National Weather Service,https://www.weather.gov/,science,high,en,2025-10-29
sample_ev_007,"The human body contains approximately 37.2 trillion cells according to a 2013 study, including 30 trillion red blood cells.",Cell Biology Research,https://www.cell.com/,science,high,en,2025-10-29
sample_ev_008,"The Amazon rainforest produces 6-9% of world oxygen, not 20%. Ocean phytoplankton produce about 50%.",National Geographic,https://www.nationalgeographic.com/,science,high,en,2025-10-29
sample_ev_009,"Goldfish have memory lasting months, not three seconds. They can be trained to recognize shapes, colors, and sounds.",Animal Cognition Research,https://www.springer.com/journal/10071,science,high,en,2025-10-29
sample_ev_010,"Humans use virtually all of their brain, not just 10%. fMRI imaging confirms all brain regions are active almost constantly.",Nature Neuroscience,https://www.nature.com/,science,high,en,2025-10-29
sample_ev_011,"Glass is an amorphous solid, not a slow-flowing liquid. Old window thickness variations resulted from manufacturing.",Materials Science Research,https://www.material-science.org/,science,high,en,2025-10-29
sample_ev_012,"Humans can only see visible light (380-700nm), not ultraviolet light (10-380nm). The eye filters out UV radiation.",Ophthalmology Research,https://www.aao.org/,science,high,en,2025-10-29
sample_ev_013,Honey never spoils when properly stored. Its low moisture and high acidity prevent bacterial growth. 3000-year-old honey has been found edible.,Food Science Research,https://www.sciencedirect.com/,science,high,en,2025-10-29
sample_ev_014,Microwaves use non-ionizing radiation and do not make food radioactive. The FDA confirms microwaved food remains non-radioactive.,FDA Food Safety,https://www.fda.gov/,science,high,en,2025-10-29
sample_ev_015,"Evolution by natural selection is supported by fossils, genetics, comparative anatomy, and observed speciation events.",Biology Textbooks,https://en.wikipedia.org/wiki/Evolution,science,high,en,2025-10-29
sample_ev_016,"Humans and chimpanzees share 98-99% DNA similarity, evidence for common evolutionary ancestry.",Genetics Research,https://www.nature.com/,science,high,en,2025-10-29
sample_ev_017,Antarctica is 98% covered by ice. The remaining 2% consists of exposed rock outcrops and ice-free valleys.,NASA Cryosphere Research,https://science.nasa.gov/cryosphere/,science,high,en,2025-10-29
sample_ev_018,"The Dead Sea surface at 1,410 feet below sea level is Earth's lowest land point. The Mariana Trench is deeper but underwater.",USGS Geographic Data,https://www.usgs.gov/,science,high,en,2025-10-29
sample_ev_019,"The speed of light in vacuum is exactly 299,792,458 m/s. This is a fundamental constant in Einstein's relativity.",Physics Constants,https://physics.nist.gov/,science,high,en,2025-10-29
sample_ev_020,"Einstein published special relativity in 1905 and general relativity in 1915, revolutionizing physics.",Physics History,https://en.wikipedia.org/wiki/Theory_of_relativity,science,high,en,2025-10-29
sample_ev_021,"DNA's double helix structure was discovered by Watson and Crick in 1953, building on Rosalind Franklin's X-ray work.",Molecular Biology,https://en.wikipedia.org/wiki/DNA,science,high,en,2025-10-29
sample_ev_022,The Sun is 93 million miles from Earth. Light takes 8 minutes 20 seconds to reach Earth.,Astronomy Education,https://www.nasa.gov/,science,high,en,2025-10-29
sample_ev_023,"Mars has been visited only by robotic rovers, not humans. No crewed missions to Mars have been completed as of 2025.",NASA Mars Exploration,https://mars.nasa.gov/,science,high,en,2025-10-29
sample_ev_024,"The 1969 Moon landing was real. Evidence includes lunar samples, retroreflectors, and independent international verification.",NASA Apollo Records,https://www.nasa.gov/mission_pages/apollo/,science,high,en,2025-10-29
sample_ev_025,The solar system has eight planets. Pluto was reclassified as a dwarf planet in 2006 by the IAU.,Astronomy,https://en.wikipedia.org/wiki/Solar_System,science,high,en,2025-10-29
sample_ev_026,Gravity gives weight to objects and causes them to fall. Earth's surface gravity is approximately 9.8 m/s².,Physics Education,https://en.wikipedia.org/wiki/Gravity,science,high,en,2025-10-29
sample_ev_027,The periodic table organizes 118 confirmed chemical elements by atomic structure. Mendeleev published the first in 1869.,Chemistry Education,https://en.wikipedia.org/wiki/Periodic_table,science,high,en,2025-10-29
sample_ev_028,The Big Bang occurred approximately 13.8 billion years ago. Evidence includes cosmic microwave background radiation.,Cosmology,https://en.wikipedia.org/wiki/Big_Bang,science,high,en,2025-10-29
sample_ev_029,Black holes are regions where gravity prevents light from escaping. The first image was captured by Event Horizon Telescope in 2019.,Astrophysics,https://eventhorizontelescope.org/,science,high,en,2025-10-29
sample_ev_030,"Photosynthesis converts light energy into chemical energy. Plants use CO2, water, and sunlight to produce glucose and oxygen.",Biology Education,https://en.wikipedia.org/wiki/Photosynthesis,science,high,en,2025-10-29
sample_ev_031,"Plate tectonics explains Earth's lithosphere movement. Plates move due to mantle convection, causing earthquakes and mountains.",Geology,https://en.wikipedia.org/wiki/Plate_tectonics,science,high,en,2025-10-29
sample_ev_032,"Atoms consist of a nucleus with protons and neutrons, surrounded by electrons in orbital shells.",Chemistry Fundamentals,https://en.wikipedia.org/wiki/Atom,science,high,en,2025-10-29
sample_ev_033,The Bermuda Triangle has no more disappearances than other ocean areas of similar size. Insurance data shows no unusual risk.,Maritime Safety Statistics,https://www.uscg.gov/,science,high,en,2025-10-29
sample_ev_034,"Dinosaurs became extinct 66 million years ago, likely from an asteroid impact causing catastrophic climate change.",Paleontology,https://en.wikipedia.org/wiki/Cretaceous–Paleogene_extinction_event,science,high,en,2025-10-29
sample_ev_035,"The water cycle includes evaporation, condensation, precipitation, and runoff, distributing water across the planet.",Earth Science,https://www.usgs.gov/special-topics/water-science-school/,science,high,en,2025-10-29
sample_ev_036,"Newton's three laws of motion form classical mechanics: inertia, F=ma, and action-reaction.",Classical Physics,https://en.wikipedia.org/wiki/Newton%27s_laws_of_motion,science,high,en,2025-10-29
sample_ev_037,"Quantum mechanics deals with atomic and subatomic behavior, including wave-particle duality and uncertainty principle.",Quantum Physics,https://en.wikipedia.org/wiki/Quantum_mechanics,science,high,en,2025-10-29
sample_ev_038,"The Hubble Space Telescope launched in 1990 has made over 1.5 million observations, revolutionizing astronomy.",NASA Space Telescopes,https://hubblesite.org/,science,high,en,2025-10-29
sample_ev_039,"The human genome contains 3 billion DNA base pairs and 20,000-25,000 genes. The Human Genome Project completed in 2003.",Human Genome Project,https://www.genome.gov/,science,high,en,2025-10-29
sample_ev_040,"Darwin published 'Origin of Species' in 1859, introducing evolution by natural selection.",Biology History,https://en.wikipedia.org/wiki/On_the_Origin_of_Species,science,high,en,2025-10-29
sample_ev_041,The ozone layer absorbs UV radiation. The Montreal Protocol (1987) reduced ozone-depleting CFCs. The ozone hole is recovering.,Environmental Science,https://www.epa.gov/ozone-layer-protection,science,high,en,2025-10-29
sample_ev_042,"Stem cells can develop into specialized cell types, with applications in regenerative medicine.",Medical Research,https://www.nih.gov/stemcells,science,high,en,2025-10-29
sample_ev_043,"The Higgs boson was discovered at CERN in 2012, confirming the Standard Model of particle physics.",Particle Physics,https://home.cern/science/physics/higgs-boson,science,high,en,2025-10-29
sample_ev_044,Climate models predict 1.5-4°C temperature rise by 2100 depending on emission scenarios.,Climate Science,https://www.ipcc.ch/,science,high,en,2025-10-29
sample_ev_045,Metamorphosis involves dramatic physical transformation. Butterflies undergo complete metamorphosis with four life stages.,Entomology,https://en.wikipedia.org/wiki/Metamorphosis,science,high,en,2025-10-29
